date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-11 23:04:16,cspamus1,mattlundy33,0,0,0,"lol parasite class getting owned because their illegal hotels don't have any bookings https://twitter.com/mattlundy33/status/1237772778465636352 …",,,,1237877025857142789,https://twitter.com/cspamus1/status/1237877025857142789
2020-03-11 23:04:04,noraibrahim25,,0,0,0,"Don’t live life as a parasite trying hard to get the attention don’t be a Loser save urself before you crash into the deep sea “again”",,,,1237876975676428288,https://twitter.com/noraibrahim25/status/1237876975676428288
2020-03-11 23:04:04,mattknudsen,,0,0,0,"Surprised to see that trump didn't like Parasite. I thought this was the slogan for his administration. #sad #trump #parasite pic.twitter.com/cbSlAchV0e",,,#sad #trump #parasite,1237876974854393856,https://twitter.com/mattknudsen/status/1237876974854393856
2020-03-11 23:03:56,Trishdeish,,0,0,0,"there's this parasite called Endolimax nana, and I can only think about Jaemin im sorry :c",,,,1237876942860193795,https://twitter.com/Trishdeish/status/1237876942860193795
2020-03-11 23:03:50,VirgilioSollozo,,1,1,1,"PIRATES UNDER 69.5 -125 ORIOLES UNDER 56.5 -110 ROYALS OVER 64.5 -125 GIANTS UNDER 68.5 -115 PHILLIES OVER 84 -110 DODGERS UNDER 102.5 -125 THESE ARE FROM A BIG TIME BETTOR. HIS FUTURES ARE MONEY. SAME BETTOR WHO HAD PARASITE +300. LOCKAROOZKIE",,,,1237876916301877248,https://twitter.com/VirgilioSollozo/status/1237876916301877248
2020-03-11 23:03:06,Harrison_RJ99,,0,0,4,"I watched Parasite for the third time last night and I now feel very confident saying it's the best movie I've ever seen",,,,1237876733371539456,https://twitter.com/Harrison_RJ99/status/1237876733371539456
2020-03-11 23:03:01,FrontMicrobiol,,0,0,0,"New Research: Comparative Transcriptome Analyses of Schistosoma japonicum Derived From SCID Mice and BALB/c Mice: Clues to the Abnormality in Parasite Growth and Development https://www.frontiersin.org/articles/10.3389/fmicb.2020.00274?utm_source=S-TWT&utm_medium=SNET&utm_campaign=ECO_FCIMB_XXXXXXXX_auto-dlvrit … #microbiology",,,#microbiology,1237876713616314368,https://twitter.com/FrontMicrobiol/status/1237876713616314368
2020-03-11 23:01:54,jfongool,SeaSaltArt,0,0,0,"Truth hurts liberal parasite",,,,1237876433160040448,https://twitter.com/jfongool/status/1237876433160040448
2020-03-11 23:01:15,equinevetaus,,0,0,1,"EVA's Vic state meeting will be held 18 March at Inglis Oaklands Junction. We will enjoy presentations from: Dr Jamie Wearn (dentistry), Dr Gareth Trope (lameness) and Assoc Prof Abdul Jabbar (parasite control) pic.twitter.com/x6D49FY5Xc",,,,1237876266272874496,https://twitter.com/equinevetaus/status/1237876266272874496
2020-03-11 23:01:13,shiningMlnhyuk,,0,0,0,"Finally watched parasite with some friends today and it was... really really good",,,,1237876259096375297,https://twitter.com/shiningMlnhyuk/status/1237876259096375297
2020-03-11 23:01:04,monkcrestmoor,,0,0,0,"The line, the delivery, the faces, the wine juicebox @ParasiteMovie pic.twitter.com/t0yoVLbdbC",,@ParasiteMovie,,1237876221276348417,https://twitter.com/monkcrestmoor/status/1237876221276348417
2020-03-11 23:00:45,CarloPaguyo_,,0,0,2,"Watched parasite last night and what the fuckkkk",,,,1237876143568465920,https://twitter.com/CarloPaguyo_/status/1237876143568465920
2020-03-11 23:00:40,ConiLoyola_,FYC_Oscar,0,0,0,"1. The silence of the lamb 2. The Departed 3. Parasite 4. Platoon",,,,1237876119107321856,https://twitter.com/ConiLoyola_/status/1237876119107321856
2020-03-11 23:00:13,dbzanto,,0,0,7,"Finally got to watch Parasite. What a movie, I can see why it won Oscars well deserved.",,,,1237876005609463813,https://twitter.com/dbzanto/status/1237876005609463813
2020-03-11 23:00:02,yookinghyxn,,0,6,12,"parasite house monbebe version [HEADPHONE WARNING] pic.twitter.com/XtnkuyUKaF",,,,1237875961627983882,https://twitter.com/yookinghyxn/status/1237875961627983882
2020-03-11 22:59:42,jisoosyaa,,0,0,0,"parasite best film i think",,,,1237875876898865158,https://twitter.com/jisoosyaa/status/1237875876898865158
2020-03-11 22:59:36,LUKERElD,,0,0,2,"PARASITE WAS SO GOOD!!!!!",,,,1237875851858825216,https://twitter.com/LUKERElD/status/1237875851858825216
2020-03-11 22:59:36,6a6d1b6149364ae,JulieReichwein1,0,0,0,"And the JINO Jew-hating social parasite has lived off many public teats ever since. Three houses and a couple of million dollars, that is known. Not bad for a siphoning Communist who was the ""laziest bum in the hippie commune"", huh? https://twitter.com/JulieReichwein1/status/1234912418377039872 …",,,,1237875850436997126,https://twitter.com/6a6d1b6149364ae/status/1237875850436997126
2020-03-11 22:59:16,ychazify,hosharts,0,0,0,"clearly didn't watch the event last weekend...",,,,1237875769021304834,https://twitter.com/ychazify/status/1237875769021304834
2020-03-11 22:59:05,YourNamechris,carlanicol9,0,0,0,"You guys are fluent in korean now huh",,,,1237875723940945922,https://twitter.com/YourNamechris/status/1237875723940945922
2020-03-11 22:58:57,SLC_FSU,,0,0,3,"Parasite screening tonight at 7 PM and 10:15 PM! pic.twitter.com/6BJXxotwB5",,,,1237875690554290176,https://twitter.com/SLC_FSU/status/1237875690554290176
2020-03-11 22:58:51,munchintoast,jadande,0,0,9,"It’s the (billionaire) owner’s responsibility to refund the fans AND provide their workers with paid sick leave and a livable income despite COVID-19. Stop dividing the working class into factions. Has Parasite (2019) taught you nothing https://twitter.com/jadande/status/1237828702861430791 …",,,,1237875662515388419,https://twitter.com/munchintoast/status/1237875662515388419
2020-03-11 22:58:49,LiamJamesCatEsq,MysterySolvent,0,0,0,"They sre doing an English version of Parasite?",,,,1237875656119037953,https://twitter.com/LiamJamesCatEsq/status/1237875656119037953
